Product_name,Product_Wine_price1,Product_wine_size,Product_wine_id,Product_Number_review,Product_Alcohol_Vol,Product_Made_in,Product_By,Product_Sugar_content,Product_sweetness_descriptor,Product_Style,Product_Varietal,Product_Release_date
Taylor Fladgate Late Bottled Vintage Port,$19.20,750 mL bottle |,LCBO#: 46946,"3.9
(7)",20%,Portugal,"Taylor, Fladgate & Yeatman",95 g/L,S - Sweet,Sweet,Late Bottled Vintage Port,
Fontana Di Papa White,$19.85,2000 mL bottle |,LCBO#: 48140,"3.0
(2)",11%,"Lazio, Italy",Fontana Di Papa S.R.L.,2 g/L,XD - Extra Dry,Light & Crisp,Blend,
Woodbridge By Robert Mondavi Cabernet Sauvignon,$13.95,750 mL bottle |,LCBO#: 48611,"4.3
(77)",13.50%,"California, USA",Robert Mondavi Winery,8 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Louis Bouillot Perle d'Aurore Brut RosÃ© CrÃ©mant de Bourgogne,$22.95,750 mL bottle |,VINTAGES#: 48793,"5.0
(3)",12%,"Burgundy, France",Louis Bouillot,9 g/L,D - Dry,Medium-bodied & Flavourful,Sparkling - Dry,
Beronia Reserva,$21.95,750 mL bottle |,VINTAGES#: 50203,"4.1
(7)",14%,"Rioja, Spain",Gonzalez Byass & Co.,3 g/L,XD - Extra Dry,Medium-bodied & Fruity,Tempranillo,
Chanson RÃ©serve du Bastion Bourgogne Pinot Noir,$24.95,750 mL bottle |,VINTAGES#: 50575,"5.0
(4)",12.50%,"Burgundy, France",Chanson Pere & Fils,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,
Bouchard PÃ¨re & Fils Petit Chablis,$27.95,750 mL bottle |,LCBO#: 51466,"5.0
(1)",13%,"Burgundy, France",Bouchard Pere & Fils,2 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Bouchard PÃ¨re & Fils Macon-Lugny Saint-Pierre,$23.95,750 mL bottle |,LCBO#: 51573,"4.0
(1)",13%,"Burgundy, France",Bouchard Pere & Fils,4 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Peninsula Ridge Sauvignon Blanc VQA,$15.95,750 mL bottle |,LCBO#: 53678,,13.30%,"Ontario, Canada",Peninsula Ridge Estates Winery,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Jaffelin Bourgogne Aligote AOC,$18.45,750 mL bottle |,LCBO#: 53868,"4.0
(1)",12.50%,"Burgundy, France",Maison Jaffelin,2 g/L,XD - Extra Dry,Light & Crisp,Burgundy,
Villa Antinori Toscana IGT,$25.15,750 mL bottle |,LCBO#: 53876,"5.0
(1)",13.50%,"Tuscany, Italy",Marchesi Antinori S.P.A.,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Sangiovese,
Barefoot Pinot Grigio,$10.95,750 mL bottle |,LCBO#: 53983,"4.3
(840)",12%,"California, USA",E. & J. Gallo Winery,9 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Barefoot Merlot,$10.95,750 mL bottle |,LCBO#: 53991,"4.7
(3)",13.50%,"California, USA",E. & J. Gallo Winery,9 g/L,D - Dry,Medium-bodied & Fruity,Merlot,
Stoneleigh Marlborough Pinot Noir,$19.95,750 mL bottle |,LCBO#: 54353,"2.3
(3)",12%,New Zealand,Pernod Ricard Pacific Pty Ltd,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,
Smoking Loon Cabernet Sauvignon,$15.85,750 mL bottle |,LCBO#: 55517,"4.0
(2)",13.50%,USA,Don Sebastiani & Sons,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Latour Chardonnay Bourgogne,$23.15,750 mL bottle |,LCBO#: 55533,"4.0
(3)",13%,"Burgundy, France",Maison Louis Latour,3 g/L,XD - Extra Dry,Full-bodied & Rich,Burgundy,
Chateau Ste. Michelle Indian Wells Cabernet Sauvignon 2018,$26.95,750 mL bottle |,VINTAGES#: 55764,"4.8
(26)",14%,"Washington, USA",Chat Ste Michelle,3 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon/Syrah,
Sterling Vintner's Collection Cabernet Sauvignon,$16.95,750 mL bottle |,LCBO#: 56366,"3.4
(7)",13.50%,USA,Sterling Vineyards,6 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Bouchard PÃ¨re & Fils Pouilly-Fuisse,$36.95,750 mL bottle |,LCBO#: 56580,0,12.50%,"Burgundy, France",Bouchard Pere & Fils,2 g/L,XD - Extra Dry,Full-bodied & Rich,Burgundy,
13th Street Cabernet/Merlot 2019,$21.95,750 mL bottle |,VINTAGES#: 56598,"3.0
(1)",12%,"Ontario, Canada",Thirteenth Street Wine Corp.,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet/Merlot,
ChÃ¢teau des Charmes Gamay Noir VQA,$15.95,750 mL bottle |,LCBO#: 57349,"3.0
(2)",13%,"Ontario, Canada",Chateau Des Charmes,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,
Clayhouse Cabernet Sauvignon 2018,$18.95,750 mL bottle |,VINTAGES#: 57869,0,14.50%,"California, USA",Vintage Wine Estates,4 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon Blend,
Kaiken Malbec,$15.95,750 mL bottle |,VINTAGES#: 58339,"3.5
(4)",14.50%,"Mendoza, Argentina",Kaiken S.A.,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Malbec,
Jackson-Triggs Reserve Sauvignon Blanc VQA,$13.95,750 mL bottle |,LCBO#: 58438,0,12.30%,"Ontario, Canada","Arterra Wines Canada, Inc.",5 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Angels Gate Gewurztraminer VQA,$15.95,750 mL bottle |,LCBO#: 58594,"3.0
(5)",12.30%,"Ontario, Canada",Angels Gate Winery,4 g/L,XD - Extra Dry,Aromatic & Flavourful,GewÃ¼rztraminer,
Peller Estates Family Series Cabernet Merlot VQA,$12.95,750 mL bottle |,LCBO#: 58628,"3.5
(2)",13%,"Ontario, Canada",Andrew Peller Limited,6 g/L,D - Dry,Medium-bodied & Fruity,Cabernet/Merlot,
XOXO Pinot Grigio Chardonnay,$10.95,750 mL bottle |,LCBO#: 58677,"4.5
(2)",12%,Canada,Andrew Peller Limited,10 g/L,D - Dry,Light & Crisp,Blend,
7 Deadly Zins Old Vine Zinfandel,$24.95,750 mL bottle |,VINTAGES#: 59311,"4.6
(9)",14.50%,"California, USA",The Wine Group,6 g/L,D - Dry,Full-bodied & Smooth,Zinfandel,
"Deinhard Riesling Dry, Rheinhessen",$13.10,750 mL bottle |,LCBO#: 60004,0,12%,"Rheinhessen, Germany",Deinhard & Co,10 g/L,D - Dry,Light & Crisp,Riesling,
20 Bees Pinot Grigio VQA,$12.95,750 mL bottle |,LCBO#: 60707,"4.0
(1)",11.70%,"Ontario, Canada",Diamond Estates Wines & Spirits Ltd,9 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Beringer Main & Vine White Zinfandel,$20.95,1500 mL bottle |,LCBO#: 60715,"5.0
(9)",9%,"California, USA",Beringer Vineyards,36 g/L,MS - Medium Sweet,Soft & Off-dry,RosÃ©,
Peninsula Ridge Merlot VQA,$15.95,750 mL bottle |,LCBO#: 61101,"3.0
(1)",13.10%,"Ontario, Canada",Peninsula Ridge Estates Winery,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,
Casillero del Diablo Reserva Cabernet Sauvignon,$24.95,1500 mL bottle |,LCBO#: 61663,"4.7
(10)",13.50%,Chile,Concha Toro S.A.,5 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon,
Peller Family Vineyards Red,$10.55,1000 mL tetra |,Save $1.00,"5.0
(1)",11.50%,Canada,Andrew Peller Limited,11 g/L,D - Dry,Medium-bodied & Fruity,Blend,
Peller Family Vineyards Dry White,$11.55,1000 mL tetra |,LCBO#: 63313,0,11.80%,Canada,Andrew Peller Limited,15 g/L,D - Dry,Light & Crisp,Blend,
Wayne Gretzky Chardonnay VQA,$14.95,750 mL bottle |,LCBO#: 63826,"5.0
(2)",12.70%,"Ontario, Canada",No. 99 Wayne Gretzky Estates,3 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Emiliana Coyam,$29.95,750 mL bottle |,VINTAGES#: 63891,"5.0
(1)",14.50%,"Colchagua Valley, Chile",Vinedos Emiliana S.A.,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Syrah Blend,
Wayne Gretzky Merlot VQA,$15.95,750 mL bottle |,LCBO#: 63966,,12.80%,"Ontario, Canada",No. 99 Wayne Gretzky Estates,6 g/L,D - Dry,Medium-bodied & Fruity,Merlot,
Cono Sur Bicicleta Viognier,$11.95,750 mL bottle |,LCBO#: 64287,"4.5
(8)",13.50%,Chile,Vina Cono Sur,5 g/L,XD - Extra Dry,Aromatic & Flavourful,Viognier,
Featherstone Cabernet Franc,$19.95,750 mL bottle |,VINTAGES#: 64618,"5.0
(1)",12.30%,"Ontario, Canada",Featherstone Estate Winery,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Franc,
Strewn Rogue's Lot Cabernet Sauvignon Cabernet Franc VQA,$13.95,750 mL bottle |,Save $1.00,0,12.80%,"Ontario, Canada",Strewn Inc.,8 g/L,D - Dry,Medium-bodied & Fruity,Cabernet/Merlot,
Eastdell Pinot Grigio VQA,$13.95,750 mL bottle |,LCBO#: 65367,"4.0
(1)",10.30%,Canada,Diamond Estates Wines & Spirits Ltd,10 g/L,D - Dry,Off-dry & Fruity,Pinot Grigio,
Inniskillin Unoaked Chardonnay VQA,$14.45,750 mL bottle |,LCBO#: 66266,0,12%,"Ontario, Canada","Arterra Wines Canada, Inc.",10 g/L,D - Dry,Light & Crisp,Chardonnay,
Creekside Syrah VQA,$15.95,750 mL bottle |,LCBO#: 66654,,12.50%,"Ontario, Canada",Creekside Estate Winery,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,
The Black Chook Shiraz/Viognier 2019,$18.95,750 mL bottle |,VINTAGES#: 66738,,14.50%,"South Australia, Australia",Galvanized Wine Group,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz Blend,
Megalomaniac Narcissist Riesling,$18.95,750 mL bottle |,VINTAGES#: 67587,"5.0
(3)",10.90%,"Ontario, Canada",John Howard Cellars Of Distinction,28 g/L,M - Medium,Aromatic & Flavourful,Riesling,
Yellow Tail Pinot Grigio,$12.90,750 mL bottle |,LCBO#: 68254,0,11.50%,Australia,Casella Wines,12 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Sawmill Creek RosÃ©,$37.25,4000 mL bagnbox |,LCBO#: 68528,"5.0
(2)",11%,Canada,"Arterra Wines Canada, Inc.",29 g/L,M - Medium,Easygoing & Fruity,RosÃ©,
Sawmill Creek Chardonnay,$39.95,4000 mL bagnbox |,LCBO#: 68536,0,12.50%,Canada,"Arterra Wines Canada, Inc.",7 g/L,D - Dry,Light & Crisp,Chardonnay,
Sawmill Creek Dry Red,$38.50,4000 mL bagnbox |,LCBO#: 68544,0,12%,Canada,"Arterra Wines Canada, Inc.",12 g/L,D - Dry,Medium-bodied & Fruity,Blend,
Peller Family Vineyards RosÃ©,$11.55,1000 mL tetra |,LCBO#: 68551,"4.0
(2)",10.50%,Canada,Andrew Peller Limited,30 g/L,M - Medium,Soft & Off-dry,RosÃ©,
Sawmill Creek Merlot,$39.95,4000 mL bagnbox |,LCBO#: 68569,0,11.50%,Canada,"Arterra Wines Canada, Inc.",10 g/L,D - Dry,Medium-bodied & Fruity,Merlot,
Sawmill Creek Dry White,$37.50,4000 mL bagnbox |,Save $1.00,"2.0
(3)",11.50%,Canada,"Arterra Wines Canada, Inc.",12 g/L,D - Dry,Light & Crisp,Blend,
Hidden Bench Estate Chardonnay,$29.95,750 mL bottle |,VINTAGES#: 68817,0,13%,"Ontario, Canada",Hidden Bench Vineyards,3 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,
Gnarly Head Cabernet Sauvignon,$11.95,750 mL bottle |,Save $3.00,"3.7
(3)",13.50%,"California, USA",Delicato Vineyards,8 g/L,D - Dry,Full-bodied & Firm,Cabernet Sauvignon,
Imperial Fortified Wine,$9.95,750 mL bottle |,LCBO#: 69351,0,20%,Canada,"Arterra Wines Canada, Inc.",77 g/L,S - Sweet,,Fortified Wine,
Monte Antico,$15.95,750 mL bottle |,VINTAGES#: 69377,,13%,"Tuscany, Italy",Empson & Co. S.R.L.,9 g/L,D - Dry,Medium-bodied & Fruity,Sangiovese Blend,
Latour Pinot Noir,$26.15,750 mL bottle |,LCBO#: 69914,"4.3
(3)",13.50%,"Burgundy, France",Maison Louis Latour,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,
Peninsula Ridge Shiraz VQA,$13.95,750 mL bottle |,Save $2.00,0,12.50%,"Ontario, Canada",Peninsula Ridge Estates Winery,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Shiraz/Syrah,
Carlo Rossi California Red,$15.45,1500 mL bottle |,LCBO#: 70813,"5.0
(3)",12%,USA,E. & J. Gallo Winery,12 g/L,D - Dry,Light-bodied & Fruity,Blend,
Carlo Rossi California White,$15.45,1500 mL bottle |,LCBO#: 72041,0,10.50%,USA,E. & J. Gallo Winery,19 g/L,M - Medium,Light & Crisp,Blend,
Montalto Pinot Grigio Sicily IGT,$9.90,750 mL bottle |,LCBO#: 73148,"5.0
(3)",12%,"Sicily, Italy",Barone Montalto,6 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Casal Thaulero Pinot Grigio IGT,$8.95,750 mL bottle |,Save $1.00,"5.0
(1)",12.50%,"Abruzzo, Italy",Casal Thaulero D.P.L.,3 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
"Castillo de Monseran Garnacha, Carinena DO",$9.95,750 mL bottle |,Save $1.00,"3.8
(5)",14.50%,"CariÃ±ena, Spain",Bodegas San Valero,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Garnacha,
Alianca Vinho Verde,$9.50,750 mL bottle |,LCBO#: 75663,"4.8
(4)",10%,"Vinho Verde, Portugal",Caves Alianca Vinicola De Sangalhos,16 g/L,D - Dry,Off-dry & Fruity,Vinho Verde,
Wayne Gretzky Cabernet Merlot VQA,$15.95,750 mL bottle |,LCBO#: 75689,"4.5
(2)",12.50%,"Ontario, Canada",No. 99 Wayne Gretzky Estates,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet/Merlot,
Santa Cristina Rosso Toscana IGT,$15.00,750 mL bottle |,LCBO#: 76521,"5.0
(1)",13%,"Tuscany, Italy",Marchesi Antinori S.P.A.,6 g/L,D - Dry,Medium-bodied & Fruity,Blend,
Cavaliere D'Oro Gabbiano Pinot Grigio IGT,$13.00,750 mL bottle |,LCBO#: 77990,"4.5
(2)",12%,Italy,Castello Di Gabbiano,7 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Cavaliere D'Oro Gabbiano Chianti DOCG,$12.05,750 mL bottle |,Save $2.00,"4.0
(1)",12.50%,"Tuscany, Italy",Castello Di Gabbiano,6 g/L,D - Dry,Medium-bodied & Fruity,Chianti,
Hochtaler,$15.25,1500 mL bottle |,LCBO#: 78493,"2.0
(3)",11.50%,Canada,Andrew Peller Limited,18 g/L,M - Medium,Off-dry & Fruity,Blend,
Citra Montepulciano D'Abruzzo DOC,$15.10,1500 mL bottle |,LCBO#: 78840,"4.2
(5)",13%,"Abruzzo, Italy",Consorzio Cooperative Riunite,6 g/L,D - Dry,Medium-bodied & Fruity,Montepulciano,
Citra Trebbiano D'Abruzzo DOC,$15.10,1500 mL bottle |,LCBO#: 79046,"5.0
(1)",12%,"Abruzzo, Italy",Consorzio Cooperative Riunite,5 g/L,XD - Extra Dry,Light & Crisp,Trebbiano,
Gato Negro Sauvignon Blanc,$15.10,1500 mL bottle |,LCBO#: 79129,"4.0
(1)",12%,Chile,Vina San Pedro,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Mezzomondo Pinot Grigio Chardonnay IGT,$10.05,750 mL bottle |,LCBO#: 79301,0,12%,"Sicily, Italy",Mgm Mondo Del Vino S.R.L.,6 g/L,XD - Extra Dry,Light & Crisp,Blend,
Pelee Island Baco Noir VQA,$21.95,1500 mL bottle |,LCBO#: 79400,"3.3
(4)",12%,"Ontario, Canada",Pelee Island Vineyard Inc.,11 g/L,D - Dry,Full-bodied & Firm,Baco Noir,
Featherstone Black Sheep Riesling,$18.95,750 mL bottle |,VINTAGES#: 80234,"5.0
(1)",10%,"Ontario, Canada",Featherstone Estate Winery,23 g/L,M - Medium,Aromatic & Flavourful,Riesling,
ChÃ¢teau des Charmes Barrel Fermented Chardonnay VQA,$14.95,750 mL bottle |,LCBO#: 81653,0,12%,"Ontario, Canada",Chateau Des Charmes,4 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,
Monasterio de las ViÃ±as Gran Reserva,$19.95,750 mL bottle |,VINTAGES#: 82024,"3.9
(9)",13%,"CariÃ±ena, Spain",Grandes Vinos Y Vinedos Sa,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Grenache Blend,
Pasqua Soave DOC,$16.75,1500 mL bottle |,LCBO#: 82636,0,12%,"Veneto, Italy",Fratelli Pasqua S.A.S.,7 g/L,XD - Extra Dry,Light & Crisp,Soave,
Fuzion Shiraz Malbec,$8.95,750 mL bottle |,LCBO#: 83188,"2.5
(2)",13%,Argentina,Fuzion Wines,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Blend,
Kourtakis Apelia Moschofilero White Peloponnese IGP,$16.55,1500 mL bottle |,LCBO#: 83253,"4.7
(3)",12.50%,"Peloponnese, Greece",D. Kourtakis S.A.,2 g/L,XD - Extra Dry,Light & Crisp,Moschofilero,
Inniskillin Dry Riesling VQA,$14.45,750 mL bottle |,LCBO#: 83790,"4.0
(1)",12%,"Ontario, Canada","Arterra Wines Canada, Inc.",14 g/L,D - Dry,Light & Crisp,Riesling,
Beringer Napa Valley Chardonnay,$26.95,750 mL bottle |,VINTAGES#: 84988,"4.7
(3)",14.10%,"California, USA",Beringer Vineyards,6 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,
Blu Giovello Prosecco,$16.05,750 mL bottle |,LCBO#: 85316,"5.0
(3)",11%,Italy,Martellozzo S.P.A.,16 g/L,D - Dry,Light & Fruity,Prosecco,
Colio Dry White,$15.45,1500 mL bottle |,Save $1.00,"5.0
(1)",12%,Canada,Colio Wines Of Canada Ltd.,6 g/L,D - Dry,Light & Crisp,Blend,
Oggi Botter Pinot Grigio DOC,$9.75,750 mL bottle |,LCBO#: 86199,"4.7
(6)",12%,Italy,Casa Vinicola Botter,3 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Oggi Botter Primitivo IGT,$9.75,750 mL bottle |,LCBO#: 86421,"4.9
(10)",13%,"Puglia, Italy",Casa Vinicola Botter,6 g/L,XD - Extra Dry,Full-bodied & Firm,Primitivo,
Brights Maria Christina Red,$37.10,4000 mL bagnbox |,LCBO#: 86512,"4.0
(8)",11.50%,Canada,"Arterra Wines Canada, Inc.",27 g/L,M - Medium,Light-bodied & Fruity,Blend,
B & G Cuvee Speciale Rouge,$15.90,1500 mL bottle |,LCBO#: 86710,"5.0
(1)",12%,France,Barton & Guestier S.A.,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Blend,
Tawse Sketches of Niagara Riesling,$18.95,750 mL bottle |,VINTAGES#: 89029,0,10%,"Ontario, Canada",Tawse Winery,22 g/L,M - Medium,Aromatic & Flavourful,Riesling,
Tawse Sketches of Niagara Chardonnay,$19.95,750 mL bottle |,VINTAGES#: 89037,"5.0
(1)",13%,"Ontario, Canada",Tawse Winery,2 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,
Girls' Night Out RosÃ© VQA,$13.95,750 mL bottle |,LCBO#: 89862,"5.0
(1)",12.50%,"Ontario, Canada",Colio Wines Of Canada Ltd.,15 g/L,D - Dry,Easygoing & Fruity,RosÃ©,
Loios Red,$9.80,750 mL bottle |,LCBO#: 89912,"4.8
(6)",14%,Portugal,"J Portugal Ramos, S.A.",7 g/L,D - Dry,Medium-bodied & Fruity,Alentejo,
Finagra Alandra Red,$8.30,750 mL bottle |,LCBO#: 89961,"4.5
(2)",13%,Portugal,Esporao S.A.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Alentejo,
Quinta da Aveleda Vinho Verde,$13.20,750 mL bottle |,LCBO#: 89995,0,11%,Portugal,Sociedade Agricola E. Comercial,5 g/L,XD - Extra Dry,Light & Crisp,Vinho Verde,
J.P. Chenet Cabernet Syrah Organic Pays D'OC,$13.55,750 mL bottle |,LCBO#: 90472,"4.0
(1)",13.50%,"South of France, France",Les Grands Chais De France,9 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon/Syrah,
Kittling Ridge Kingsgate Reserve Apera (PET),$9.55,750 mL bottle |,LCBO#: 90860,"4.0
(1)",20%,Canada,Magnotta Winery,41 g/L,MS - Medium Sweet,,Fortified Wine,
Velletri Le Contrade Red IGP,$19.15,2000 mL bottle |,LCBO#: 14878,"5.0
(1)",12%,"Lazio, Italy",Soc. Agr. Veliterna Vini S.R.L,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Blend,
Sogrape Grao Vasco Dao,$9.60,750 mL bottle |,LCBO#: 14977,"3.8
(4)",13%,"DÃ£o, Portugal",Vinicola Do Vale Do Dao Lda,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,DAO,
3 Rings Shiraz 2018,$17.95,750 mL bottle |,VINTAGES#: 15495,"5.0
(1)",13.50%,"South Australia, Australia",The Arh Australian Wine Company Pty,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,
Yellowglen Pink Sparkling,$12.70,750 mL bottle |,LCBO#: 15867,"5.0
(2)",11%,Australia,Treasury Wine Estates,26 g/L,M - Medium,Light & Fruity,RosÃ©,
Moselland Bernkasteler Kurfurstlay Riesling,$11.95,750 mL bottle |,LCBO#: 15875,"4.5
(4)",10%,"Mosel, Germany",Moselland Eg,31 g/L,M - Medium,Off-dry & Fruity,Riesling,
Wolf Blass Yellow Label Cabernet Sauvignon,$9.95,375 mL bottle |,LCBO#: 15941,"3.9
(7)",14%,Australia,Mildara Blass Limited,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Brights 74 Tawny,$13.25,1000 mL bottle |,LCBO#: 16139,"5.0
(4)",18%,Canada,"Arterra Wines Canada, Inc.",119 g/L,S - Sweet,Sweet,Fortified Wine,
Peller Family Vineyards Cabernet Merlot,$10.95,1000 mL tetra |,Save $1.00,"2.8
(6)",12.50%,Canada,Andrew Peller Limited,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Blend,
Peller Family Vineyards Chardonnay,$11.95,1000 mL tetra |,LCBO#: 16352,"4.0
(2)",12%,Canada,Andrew Peller Limited,6 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Peller Family Vineyards Pinot Grigio,$11.95,1000 mL tetra |,LCBO#: 16394,"5.0
(3)",12%,Canada,Andrew Peller Limited,7 g/L,D - Dry,Light & Crisp,Pinot Grigio,
JJ McWilliam Shiraz Cabernet,$12.00,750 mL bottle |,LCBO#: 16741,0,13.50%,Australia,Mcwilliam's Wines Group Ltd.,9 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Cabernet Sauvignon,
Bolla Valpolicella Classico,$15.95,750 mL bottle |,LCBO#: 16840,"4.5
(2)",12.50%,"Veneto, Italy",Fratelli Bolla S.P.A.,3 g/L,XD - Extra Dry,Medium-bodied & Fruity,Valpolicella,
Citra Pinot Grigio Terre Di Chieti IGP,$9.95,750 mL bottle |,LCBO#: 17483,0,12.50%,"Abruzzo, Italy",Consorzio Cooperative Riunite,4 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Peller Estates Private Reserve Vidal Icewine,$24.95,200 mL bottle |,Save $3.00,"5.0
(1)",11.50%,"Ontario, Canada",Andrew Peller Limited,184 g/L,S - Sweet,Lusciously Sweet,Icewine,
The Vinecrafter Chenin Blanc,$10.95,750 mL bottle |,LCBO#: 18689,"5.0
(3)",12.50%,South Africa,Kwv Sa (Pty) Ltd.,6 g/L,D - Dry,Light & Crisp,Chenin Blanc,
AndrÃ¨s Fine Old Apera,$9.55,750 mL bottle |,LCBO#: 19265,"5.0
(2)",20%,Canada,Andrew Peller Limited,94 g/L,S - Sweet,Sweet,Fortified Wine,
Brights Classic Cream,$9.95,750 mL bottle |,LCBO#: 19273,0,20%,Canada,"Arterra Wines Canada, Inc.",114 g/L,S - Sweet,,Fortified Wine,
Jacob's Creek Shiraz Cabernet Sauvignon,$23.95,1500 mL bottle |,LCBO#: 19612,"5.0
(2)",14%,Australia,Jacobs Creek Wines,8 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Cabernet Sauvignon,
Fontanafredda Barolo DOCG,$32.95,750 mL bottle |,LCBO#: 20214,"4.8
(5)",14%,"Piedmont, Italy",Fontanafredda,2 g/L,XD - Extra Dry,Full-bodied & Firm,Nebbiolo,
G.A. Schmitt Winzertanz,$15.25,1500 mL bottle |,LCBO#: 20263,"5.0
(1)",9%,Germany,Gustav Adolf Schmitt'Sches Weingut,33 g/L,M - Medium,Off-dry & Fruity,Blend,
Manischewitz Blackberry K,$8.95,750 mL bottle |,VINTAGES#: 22038,0,11%,"New York, USA",E. & J. Gallo Winery,176 g/L,S - Sweet,Sweet,Red - Sweet,
Jackson-Triggs Pinot Grigio,$18.95,1500 mL bottle |,LCBO#: 22327,"4.8
(4)",12.10%,"Ontario, Canada",Jackson-Triggs Winery,5 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Chateau de Gourgazaud Minervois AOC,$14.50,750 mL bottle |,LCBO#: 22384,"5.0
(1)",14%,France,Chateau Du Gourgazaud,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Blend,
Sandeman Ruby Port,$16.00,750 mL bottle |,LCBO#: 23366,0,19.50%,Portugal,Geo. G. Sandeman Sons & Co. Ltd,96 g/L,S - Sweet,Sweet,Ruby Port,
Santa Rita 120 Reserva Especial Sauvignon Blanc,$11.95,750 mL bottle |,LCBO#: 23606,"5.0
(2)",13.50%,Chile,Vina Santa Rita,3 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Thirty Bench Winemaker's Blend Riesling,$22.95,750 mL bottle |,VINTAGES#: 24133,"5.0
(2)",11.10%,"Ontario, Canada",Andrew Peller Limited,18 g/L,M - Medium,Aromatic & Flavourful,Riesling,
Fazi Battaglia Verdicchio Dei Castelli Di Jesi DOC,$13.00,750 mL bottle |,LCBO#: 24422,"5.0
(4)",12.50%,"Marche, Italy",Casa Vinicola Fazi-Battaglia Titulu,4 g/L,XD - Extra Dry,Light & Crisp,Verdicchio,
Stone's Green Ginger,$11.45,750 mL bottle |,LCBO#: 24828,"4.5
(8)",13%,Canada,Andrew Peller Limited,218 g/L,S - Sweet,Bold & Spicy,Aperitif Wine,
Wincarnis Aperitif Wine,$10.25,750 mL bottle |,LCBO#: 24984,"4.0
(1)",18%,"England, United Kingdom",Ian Macleod & Co. Ltd.,145 g/L,S - Sweet,Sweet,Aperitif,
Fonseca Periquita Red,$11.00,750 mL bottle |,LCBO#: 25262,"4.5
(4)",13.50%,"SetÃºbal, Portugal",Jose Maria Da Fonseca,11 g/L,D - Dry,Full-bodied & Firm,Blend,
Folonari Valpolicella Classico DOC,$25.45,1500 mL bottle |,LCBO#: 26278,"4.2
(5)",12.50%,"Veneto, Italy",Folonari S.P.A.,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Valpolicella,
